Abbreviation,Meaning
adv.,adverb adverbial
Ait.,Aitutaki
approx.,approximate(ly)
art.,article
A.V.,Authorised Version
Bib.,Bible
caus.,causative
Ceo,Central Eastern Polynesian
cf.,compare
Chr.,Chronicles
Ck.,Cookic
Col.,Colossians
coil.,collective
colloq.,colloquial
conj,. conjunction
cont.,continuative
Cor.,Corinthians
cplx,complex word
Dan.,Daniel
demo,demonstrative
derog.,derogative
Deut.,Deuteronomy
dial.,dialect(s)
dim.,diminutive
dir.,directional
duo,dual
duro,durative
Bccl.,Ecclesiastes
Eng.,English
Ep.,Eastern Polynesian
Eph.,Ephesians
esp.,especially
Esth.,Esther
Ex.,Exodus
Fr.,French
exclam.,exclamation
Ez.,Ezra
Ezek.,Ezekiel
fig.,figurative(ly)
fq,. frequentative
Gal.,Galations
Gen.,Genesis
Gk,Greek
grad.,gradual
Haw.,Hawai'i(an)
Heb.,Hebrew(s)
Hos.,Hosea
i.e.,that is
imitat.,imitative
imper.,imperative
incho.,inchoative
indef.,indefinite
intens.,intensive
interj,. inteIjection
interrog.,interrogative
intr.,intransitive
Is.,Isaiah
Jam.,James
Jer.,Jeremiah
Jon.,Johah
Josh.,Joshua
Judg.,Judges
Lam.,Lamentations
Lat.,Latin
Lev.,Leviticus
loc.,locative
loco.n.,local noun
Mal.,Malachi
Mang.,Mangaia(n)
Mao.,New Zealand Maori
Matt.,Matthew
M.M.,Manihiki and Ma'uke
mod.,modern
morpho,morpheme
n.,noun
neg.,negative
Neh.,Nehemiah
N.G.Pt,Nga-pii-toru
Np.,Nuclear Polynesian
N.T.,New Testament
nom.,nominal(isation)
Num.,Numbers
num.,numeral
obs.,obsolete
obsol.,obsolescent
orig.,originally
part.,particle
pass.,passive
pers.,personal
Pet.,Peter
Phil.,Philippians
pI.,plural
Pn.,Proto Polynesian
poss.,possessive
pref.,prefix
prep.,preposition
pron.,pronoun
prop.,proper
Ps.,Psalms
Provo.,Proverbs
q.v.,which see
Rar.,Rarotonga(n)
recip.,reciprocal
rel.,relative
Rev.,Revelations
rflx.,reflexive
Rom.,Romans
RR,reduplication
rR,first element reduplication
Rr,last element reduplication
rt,root
Sam.,Samuel
sbdy,somebody
sg.,singular
Song,of Solomon
Span.,Spanish
stat.,stative
sthg,something
sub.,subordinate
subj,. subjunctive
suff.,suffix
Ta.,Tahitic
Tah.,Tahiti
Tim.,Timothy
tr.,transitive
usu.,usually
v.,verb(al)
var.,"variant, variation"
v.i.,intransitive verb
v.t.,transitive verb
